Date,Time,Magnitude,Depth,Latitude,Longitude,Kaggle_Location,EMDAT_Location,Total_Deaths,EMDAT_Date,Distance_km,confidence_score,match_type
1924-05-13,01:52:33.000,5.2,30.0,40.0,42.0,KARACUHA-HORASAN (ERZURUM) [SOUTH EAST  1.6 KM],ERZURUM,50,1924-05-13,76.00492738924773,2.3059007881644686,fuzzy
1939-12-26,23:57:20.900000,7.2,20.0,39.8,39.51,KURUTILEK- (ERZINCAN) [NORTH EAST  3.0 KM],ERZINCAN,32962,1939-12-27,6.056633929939156,2.0169550906765314,fuzzy
1943-11-26,22:20:40.800000,6.7,10.0,41.05,33.72,COMERT-ILGAZ (ÇANKIRI) [NORTH WEST  2.2 KM],SAMSUN,4020,1943-11-27,19.947783541184354,1.770374488603815,fuzzy
1944-02-01,03:22:39.900000,6.7,10.0,40.7871,31.8723,ULUMESCIT-(BOLU),GEREDE (WEST ANATOLIA),3959,1944-02-01,94.8742508387444,1.8714426820065309,fuzzy
1950-02-04,09:30:52.000,4.9,30.0,39.5,40.6,KASIKLI-YEDISU (BINGOL) [NORTH EAST  3.4 KM],NAN,20,1950-02-04,75.64503875132871,,fuzzy
1952-10-22,17:00:48.500000,5.4,70.0,37.25,35.65,IMAMOGLU (ADANA) [SOUTH WEST  1.3 KM],ADANA,20,1952-10-22,84.4567390599853,2.086152534421025,fuzzy
1953-03-18,19:06:16.100000,6.7,10.0,39.99,27.36,SOGUCAK-YENICE (ÇANAKKALE) [SOUTH WEST  2.3 KM],BALIKESIR,1200,1953-03-18,31.992602085509628,2.2348111137862814,fuzzy
1966-08-19,12:22:10.500000,6.1,26.0,39.17,41.56,CAYIRYOLU-VARTO (MUS) [SOUTH WEST  1.2 KM],VARTO,2394,1966-08-19,7.301258567181167,2.460816477328117,fuzzy
1966-03-07,01:16:08.900000,5.4,26.0,39.2,41.6,AGACKORUR-VARTO (MUS) [SOUTH EAST  2.0 KM],MUS,10,1966-03-07,11.11949266445603,2.44306961773224,fuzzy
1967-07-26,18:53:01.100000,5.6,30.0,39.54,40.38,KIRDIM-PULUMUR (TUNCELI) [EAST 4.7 KM],TUNCELI,97,1967-07-26,4.767170051964449,2.5379556986888083,fuzzy
2002-02-03,07:14:36.400000,5.6,10.0,38.7,30.87,HAMIDIYE-BOLVADIN (AFYONKARAHISAR) [SOUTH WEST  2.1 KM],BOLVADIN DISTRICT (AFYON PROVINCE),42,2002-02-03,37.58354477506186,2.0971992828104002,fuzzy
