Date,Time,Magnitude,Depth,Latitude,Longitude,Kaggle_Location,EMDAT_Location,Total_Deaths,EMDAT_Date,Distance_km,match_type
1924-09-13,14:34:14.700000,6.3,10.0,39.96,41.94,EMRE-KOPRUKOY (ERZURUM) [SOUTH WEST  1.9 KM],ERZURUM,60,1924-09-13,8.156672160244531,strict
1925-01-09,17:38:34.300000,5.7,60.0,41.33,43.41,AKCIL-CILDIR (ARDAHAN) [EAST 20.4 KM],ARDAHAN,200,1925-01-09,52.99422935275438,loose
1925-08-07,06:46:37.000,5.6,20.0,38.1,29.8,BOZDAG-CIVRIL (DENIZLI) [WEST 2.2 KM],DINAR,3,1925-08-07,62.29439264570824,loose
1928-03-31,05:12:24.000,5.1,30.0,38.1,27.4,SAGLIK-TORBALI (IZMIR) [NORTH 1.6 KM],IZMIR,50,1928-03-30,31.078817025592574,strict
1938-04-19,10:59:20.400000,6.2,10.0,39.44,33.79,YUKARICIFTLIKKOYU-KAMAN (KIRSEHIR) [EAST 2.9 KM],KIRSEHIR,149,1938-04-19,10.33005839882302,strict
1939-09-22,00:36:36.600000,6.2,10.0,39.07,26.94,KIZILCUKUR-DIKILI (IZMIR) [SOUTH EAST  4.2 KM],DIKILI,60,1939-09-22,24.740676765892342,strict
1940-02-21,00:50:00.000,5.1,30.0,38.4,35.3,CAYIROZU-DEVELI (KAYSERI) [SOUTH 2.6 KM],KAYSERI,37,1940-02-20,17.42854388590186,strict
1941-09-10,21:53:56.600000,5.6,20.0,39.45,43.32,YANKAYA-TASLICAY (AGRI) [SOUTH WEST  3.3 KM],VAN,430,1941-09-11,5.818728690357055,strict
1941-11-12,10:04:59.200000,5.6,70.0,39.74,39.43,YENIKOY- (ERZINCAN) [NORTH EAST  1.5 KM],ERZINCAN,15,1941-11-12,5.134833407868144,strict
1942-12-20,14:03:07.800000,6.5,10.0,40.87,36.47,ERDEMLI-ERBAA (TOKAT) [NORTH WEST  2.8 KM],"NIKSAR, ERBAA",3000,1942-12-20,22.030308822683317,strict
1942-11-15,17:01:22.900000,5.8,10.0,39.55,28.58,CATALCAM-DURSUNBEY (BALIKESIR) [NORTH EAST  1.5 KM],NAN,16,1942-11-15,50.8082441233102,loose
1942-11-21,14:01:53.100000,5.3,80.0,40.82,34.44,AKCASU-ISKILIP (ÇORUM) [EAST 1.0 KM],"KASTOMONU, KARGI",17,1942-11-21,59.3801262644698,loose
1943-06-20,15:32:54.000,6.2,10.0,40.85,30.51,TURKBEYLIKKISLA-SOGUTLU (SAKARYA) [SOUTH EAST  0.9 KM],"HUNDEK, ADAPAZARI",285,1943-06-20,27.811501317565728,strict
1944-10-06,02:34:48.700000,6.3,40.0,39.48,26.56,EDREMIT KÖRFEZI (EGE DENIZI),AYVALIK EDREMIT,27,1944-10-06,3.9405135336927466,strict
1944-06-25,04:16:25.600000,5.7,40.0,38.79,29.31,GOKCEDAL- (USAK) [SOUTH WEST  1.0 KM],USAK,21,1944-06-25,12.262063070318051,strict
1945-03-20,07:58:56.500000,5.7,60.0,37.11,35.7,TATLIKUYU-CEYHAN (ADANA) [SOUTH WEST  1.5 KM],ADANA,300,1945-03-20,33.439055069941865,strict
1945-07-29,08:56:49.000,4.9,30.0,38.0,43.0,CILGA-CATAK (VAN) [SOUTH EAST  4.7 KM],VAN,300,1945-07-29,61.46012109176988,loose
1946-05-31,03:12:50.000,5.6,60.0,39.29,41.21,KARTALDERE-VARTO (MUS) [SOUTH WEST  0.6 KM],"VARTO HINIS, USTUKRAN (EASTERN TURKEY)",840,1946-05-31,1.4060396036849776,strict
1946-02-21,15:43:12.200000,5.3,60.0,38.24,31.79,SEBILLER-ILGIN (KONYA) [EAST 2.0 KM],KONYA,12,1946-02-21,4.53277654687768,strict
1949-08-17,18:44:19.800000,6.3,40.0,39.57,40.62,YAYLIM-TERCAN (ERZINCAN) [NORTH WEST  2.7 KM],KARLIOVA (ANATOLIA),320,1949-08-17,64.21703050104202,loose
1951-08-13,18:33:33.600000,6.4,10.0,40.88,32.87,KUZOREN-CERKES (ÇANKIRI) [SOUTH EAST  2.8 KM],KURSUNLU ILGAZ,54,1951-08-13,45.46400968636792,strict
1952-01-03,06:03:55.200000,5.6,40.0,39.95,41.67,PASINLER (ERZURUM) [SOUTH 3.0 KM],ERZURUM,103,1952-01-03,6.120067648837221,strict
1953-06-18,05:44:11.800000,5.0,30.0,41.8,26.55,YOLUSTU- (EDIRNE) [NORTH WEST  0.9 KM],EDIRNE,37,1953-06-18,49.09600690013955,strict
1957-05-26,06:33:35.100000,6.6,10.0,40.67,31.0,GUZELDERE-GOLYAKA (DUZCE) [SOUTH WEST  7.1 KM],BOLU,53,1957-05-26,9.06785193220692,strict
1964-10-06,14:31:23.000,7.0,34.0,40.3,28.23,OKCULAR-KARACABEY (BURSA) [NORTH EAST  1.5 KM],BALIKESIR,23,1964-10-06,10.97653247795832,strict
