Cluster_ID,Deprem_Sayisi,Merkez_Enlem,Merkez_Boylam,Ana_Bolge,Ana_Bolge_Yuzdesi,Diger_Bolgeler
1,3141,37.561,28.154,AKDENIZ,31.5,"MUGLA, MANISA, IZMIR"
0,1661,38.302,39.804,VAN,17.8,"KAHRAMANMARAS, MALATYA, ELAZIG"
2,138,40.434,33.528,ANKARA,23.9,"KASTAMONU, CANKIRI, CORUM"
3,64,41.289,43.996,AZERBAYCAN,37.5,"GÜRCISTAN, ERMENISTAN, GURCISTAN"
5,21,40.56,36.902,TOKAT,71.4,"ORDU, MUS, AMASYA"
4,16,38.954,35.739,KAYSERI,81.2,SIVAS
6,15,36.086,40.945,SURIYE,100.0,-
7,15,41.708,32.388,KAYADIBI- (BARTIN) [EAST 2.0 KM],6.7,"GERIS- (BARTIN) [NORTH EAST  1.1 KM], TOPALLAR-AMASRA (BARTIN) [SOUTH WEST  1.5 KM], HISARKOY-KURUCASILE (BARTIN) [NORTH 5.6 KM]"
9,9,39.57,33.952,KIRSEHIR,77.8,"YENIYAPAN-DELICE (KIRIKKALE) [NORTH WEST  3.0 KM], YOZGAT"
8,3,39.942,37.45,SIVAS,100.0,-
