Location_clean,Deprem_Sayisi,Ort_Buyukluk,Max_Buyukluk,Ort_Derinlik
AKDENIZ,1005,4.47,6.7,35.9
VAN,296,4.37,6.7,9.11
KAHRAMANMARAS,280,4.37,7.4,6.25
MUGLA,207,4.49,6.1,27.43
MALATYA,179,4.46,5.8,7.8
MANISA,159,4.43,6.6,15.49
IZMIR,142,4.41,6.2,16.56
ONIKI ADALAR (AKDENIZ),127,4.47,7.0,38.7
DENIZLI,106,4.54,5.8,18.43
BALIKESIR,101,4.51,6.5,15.81
ELAZIG,95,4.52,6.7,8.65
BURDUR,94,4.56,5.8,22.07
EGE DENIZI,88,4.47,6.7,12.45
BINGOL,85,4.58,5.9,17.94
ANTALYA,85,4.48,6.0,48.01
HATAY,83,4.36,6.4,10.88
ADIYAMAN,82,4.4,5.7,10.49
ERZURUM,67,4.61,6.3,22.18
SAKARYA,65,4.57,6.3,22.3
MUS,54,4.65,6.6,26.46
ERZINCAN,51,4.61,7.2,17.76
ADANA,48,4.41,5.7,17.64
CANAKKALE,47,4.38,5.4,10.76
GOKOVA KORFEZI (AKDENIZ),44,4.29,6.6,9.82
BURSA,44,4.52,7.0,13.86
SURIYE,41,4.38,5.4,15.28
KUSADASI KORFEZI (EGE DENIZI),40,4.22,5.0,8.64
GÖKOVA KÖRFEZI (AKDENIZ),37,4.25,5.1,18.78
IRAK,37,4.63,5.6,23.74
AYDIN,37,4.57,6.3,21.47
ANKARA,35,4.48,5.7,8.48
GAZIANTEP,34,4.71,7.5,11.6
KONYA,34,4.65,5.5,22.78
HAKKARI,32,4.43,5.8,14.0
TURKIYE-IRAN SINIR BOLGESI,31,4.44,5.9,6.18
AFYONKARAHISAR,31,4.62,5.6,19.69
GIRIT ADASI (AKDENIZ),30,4.36,6.1,17.91
USAK,29,4.51,5.7,32.31
SIVAS,28,4.46,5.8,11.87
SISAM ADASI (EGE DENIZI),27,4.39,5.3,11.89
MIDILLI ADASI (EGE DENIZI),27,4.36,5.2,11.45
BOLU,25,4.68,6.7,16.18
AZERBAYCAN,25,4.7,5.6,20.35
OSMANIYE,25,4.38,5.6,17.16
RODOS ADASI (AKDENIZ),24,4.38,5.2,52.89
TUNCELI,23,4.4,5.6,19.11
KASTAMONU,23,4.84,5.5,24.78
SAROS KÖRFEZI (EGE DENIZI),23,4.69,5.7,17.23
BITLIS,22,4.46,5.4,18.25
GÜRCISTAN,22,4.63,5.2,22.03
MARMARA DENIZI,22,4.51,5.4,13.55
TEKIRDAG,21,4.51,5.3,12.77
TOKAT,21,4.71,6.5,13.25
DIYARBAKIR,19,4.43,5.9,22.28
GIRIT ADASI ACIKLARI (AKDENIZ),19,4.64,6.3,15.87
AGRI,19,4.62,5.6,13.48
DUZCE,18,4.81,6.6,22.6
KAYSERI,18,4.53,5.2,14.77
TÜRKIYE-IRAN SINIR BÖLGESI,18,4.64,7.0,23.61
ISPARTA,15,4.5,5.2,15.51
KARS,15,4.69,5.9,19.23
KOS ADASI (AKDENIZ),13,4.58,5.3,117.28
ISTANBUL,13,4.62,6.0,18.03
IRAN,13,4.48,5.7,9.78
SAROS KORFEZI (EGE DENIZI),12,4.34,4.9,9.56
KOCAELI,12,4.42,5.3,19.74
