Latitude,Longitude,Magnitude,Depth,Geo_Cluster,Multi_Cluster
37.4405,43.9263,4.5,5.0,0,0
37.4763,43.6965,4.6,5.0,0,0
38.4627,39.054,4.4,5.0,0,0
36.4303,36.333,4.1,12.3,0,0
36.4075,28.3622,4.0,28.0,1,0
38.2577,38.1025,4.6,5.0,0,0
41.0535,33.8043,4.7,5.0,2,0
38.0407,37.6825,4.4,6.3,0,0
36.2807,36.1393,4.2,5.0,0,0
39.9335,39.3318,4.3,5.0,0,0
40.7362,29.0795,4.1,4.7,1,0
36.4832,28.8718,4.1,24.9,1,0
40.4078,28.855,5.1,5.3,1,0
38.4065,37.4868,4.8,2.9,0,0
38.1722,38.5215,4.6,5.0,0,0
38.1202,38.559,5.3,8.3,0,0
38.215,38.7392,4.5,1.6,0,0
39.3735,28.257,4.0,11.1,1,0
36.2953,27.6592,4.1,11.2,1,0
38.2025,38.5128,4.0,5.0,0,0
39.4392,44.6057,4.2,5.0,0,0
37.7307,29.9355,4.2,6.4,1,0
36.2773,31.8913,4.3,92.7,1,-1
36.9473,27.0047,4.0,8.8,1,0
36.5478,36.4147,4.9,12.6,0,0
37.099,30.2223,4.3,95.2,1,-1
40.4887,27.5442,4.3,15.7,1,0
38.0105,36.4315,4.2,5.5,0,0
35.2302,26.6357,4.1,5.0,1,0
35.2705,26.6185,4.1,5.0,1,0
38.1613,38.622,4.4,5.0,0,0
38.9123,43.5638,4.0,5.0,0,0
38.3393,27.2,4.1,13.3,1,0
38.1968,27.6873,4.3,10.3,1,0
37.8477,36.3597,4.2,5.0,0,0
40.8932,31.7135,4.7,5.0,1,0
38.864,43.594,4.6,5.0,0,0
38.292,38.1342,4.3,5.0,0,0
38.0912,38.1512,4.3,5.0,0,0
37.911,36.6778,4.4,7.1,0,0
36.0347,35.8517,4.1,10.3,0,0
38.3602,27.2092,4.0,7.1,1,0
36.9015,27.0377,4.2,8.0,1,0
39.0937,29.5525,4.0,8.1,1,0
41.8818,44.999,4.0,7.2,-1,0
37.945,36.4068,4.7,7.5,0,0
35.4037,44.7943,4.8,25.7,-1,-1
37.9662,27.1258,4.4,8.2,1,0
38.9088,32.9598,5.1,3.5,2,0
36.3487,27.808,4.4,65.3,1,0
38.0263,37.5187,4.0,5.0,0,0
38.2595,38.2078,5.0,5.0,0,0
39.6365,43.6868,4.1,5.0,0,0
39.2,40.3287,4.0,5.2,0,0
38.4567,36.6812,4.8,5.0,0,0
36.799,28.156,4.2,68.1,1,0
37.9843,36.4638,4.0,5.0,0,0
37.9643,36.373,4.1,2.5,0,0
37.7667,37.7087,4.0,5.3,0,0
37.6587,35.393,4.6,4.7,0,0
38.286,38.1992,4.1,5.0,0,0
38.357,38.1747,4.2,5.0,0,0
38.2955,38.177,4.9,5.9,0,0
39.34,40.8817,4.1,3.2,0,0
38.2897,38.2135,5.2,5.0,0,0
35.7092,31.444,4.7,4.1,1,0
38.5243,40.3787,4.1,5.0,0,0
38.1792,38.432,4.3,1.2,0,0
37.9862,36.254,4.0,5.0,0,0
38.1623,38.6448,4.2,5.0,0,0
40.3583,42.0817,4.0,4.3,0,0
38.0893,32.6225,4.8,2.3,-1,0
36.0473,36.0593,4.0,22.7,0,0
37.6007,35.9215,4.5,5.0,0,0
37.5915,35.8967,5.6,1.1,0,0
38.0587,37.5387,4.1,4.0,0,0
37.8753,36.269,4.0,5.0,0,0
37.7382,27.1395,4.2,13.4,1,0
39.9725,28.0917,4.3,9.8,1,0
39.3855,26.2403,4.0,5.8,1,0
37.998,36.5822,4.0,2.6,0,0
38.0185,37.3337,4.0,5.0,0,0
38.0132,36.416,4.2,5.0,0,0
37.1075,43.3475,4.7,5.0,0,0
38.1298,38.4147,4.2,7.4,0,0
37.9637,36.5538,4.7,5.0,0,0
39.9137,40.7768,4.1,5.0,0,0
38.177,38.0318,4.5,5.0,0,0
38.2618,38.5953,4.5,5.0,0,0
37.6912,37.3625,4.1,8.0,0,0
38.4977,44.954,4.8,5.0,0,0
38.6552,43.1792,4.0,5.0,0,0
37.9827,36.4233,4.0,5.0,0,0
37.9172,36.2507,4.0,5.0,0,0
40.1195,40.964,4.4,5.0,0,0
37.8962,36.2605,4.0,4.0,0,0
37.7535,27.132,4.3,13.6,1,0
37.8225,36.3102,4.2,5.0,0,0
38.0025,36.5735,4.6,6.5,0,0
38.2587,39.4097,4.1,5.0,0,0
39.4283,37.2335,4.3,5.0,-1,0
38.0463,38.5912,4.0,9.0,0,0
37.909,36.3013,4.1,5.0,0,0
37.8977,36.2443,4.3,5.0,0,0
37.9415,36.2732,4.6,3.5,0,0
37.9117,36.2582,4.8,4.9,0,0
38.3543,37.7352,4.0,5.0,0,0
37.8792,36.2885,4.3,5.0,0,0
38.113,38.5653,4.0,5.0,0,0
37.8722,36.273,4.6,5.0,0,0
38.0688,36.576,4.0,5.0,0,0
39.1262,33.004,4.2,5.0,2,0
36.513,28.8682,4.1,5.0,1,0
35.0097,37.674,4.6,5.0,-1,0
38.1172,38.3602,4.7,8.4,0,0
35.012,37.6605,4.5,5.0,-1,0
36.4223,36.298,4.9,16.6,0,0
37.8565,36.5693,4.0,2.9,0,0
37.973,36.3063,4.7,5.0,0,0
40.4323,26.15,4.4,7.1,1,0
38.0847,36.5788,4.1,5.0,0,0
38.084,36.5752,5.1,2.8,0,0
