Location_clean,Deprem_Sayisi,Ort_Buyukluk,Max_Buyukluk,Ort_Derinlik,Risk_Score
AKDENIZ,1005,4.47,6.7,35.9,376.11
VAN,296,4.37,6.7,9.11,165.09
KAHRAMANMARAS,280,4.37,7.4,6.25,164.08
MUGLA,207,4.49,6.1,27.43,134.76
MALATYA,179,4.46,5.8,7.8,126.52
MANISA,159,4.43,6.6,15.49,123.45
IZMIR,142,4.41,6.2,16.56,116.04
ONIKI ADALAR (AKDENIZ),127,4.47,7.0,38.7,113.93
ELAZIG,95,4.52,6.7,8.65,106.34
BALIKESIR,101,4.51,6.5,15.81,106.32
DENIZLI,106,4.54,5.8,18.43,104.36
EGE DENIZI,88,4.47,6.7,12.45,103.35
BURDUR,94,4.56,5.8,22.07,100.59
HATAY,83,4.36,6.4,10.88,99.41
BINGOL,85,4.58,5.9,17.94,99.01
ADIYAMAN,82,4.4,5.7,10.49,96.05
ERZINCAN,51,4.61,7.2,17.76,95.62
ANTALYA,85,4.48,6.0,48.01,95.5
ERZURUM,67,4.61,6.3,22.18,95.48
SAKARYA,65,4.57,6.3,22.3,94.47
GAZIANTEP,34,4.71,7.5,11.6,93.64
MUS,54,4.65,6.6,26.46,93.05
BURSA,44,4.52,7.0,13.86,92.01
GOKOVA KORFEZI (AKDENIZ),44,4.29,6.6,9.82,88.12
BOLU,25,4.68,6.7,16.18,86.18
AYDIN,37,4.57,6.3,21.47,86.15
ADANA,48,4.41,5.7,17.64,85.24
TOKAT,21,4.71,6.5,13.25,84.58
CANAKKALE,47,4.38,5.4,10.76,83.82
IRAK,37,4.63,5.6,23.74,83.03
ANKARA,35,4.48,5.7,8.48,82.95
TURKIYE-IRAN SINIR BOLGESI,31,4.44,5.9,6.18,82.58
KONYA,34,4.65,5.5,22.78,81.92
SURIYE,41,4.38,5.4,15.28,81.57
AFYONKARAHISAR,31,4.62,5.6,19.69,81.53
HAKKARI,32,4.43,5.8,14.0,81.5
GIRIT ADASI (AKDENIZ),30,4.36,6.1,17.91,81.31
SIVAS,28,4.46,5.8,11.87,80.81
SAROS KÖRFEZI (EGE DENIZI),23,4.69,5.7,17.23,80.58
AZERBAYCAN,25,4.7,5.6,20.35,80.46
KASTAMONU,23,4.84,5.5,24.78,80.32
USAK,29,4.51,5.7,32.31,79.07
KUSADASI KORFEZI (EGE DENIZI),40,4.22,5.0,8.64,78.34
OSMANIYE,25,4.38,5.6,17.16,77.58
MARMARA DENIZI,22,4.51,5.4,13.55,77.34
SISAM ADASI (EGE DENIZI),27,4.39,5.3,11.89,77.31
GÖKOVA KÖRFEZI (AKDENIZ),37,4.25,5.1,18.78,77.22
TUNCELI,23,4.4,5.6,19.11,76.99
GÜRCISTAN,22,4.63,5.2,22.03,76.7
TEKIRDAG,21,4.51,5.3,12.77,76.62
MIDILLI ADASI (EGE DENIZI),27,4.36,5.2,11.45,76.56
BITLIS,22,4.46,5.4,18.25,76.38
RODOS ADASI (AKDENIZ),24,4.38,5.2,52.89,71.71
